complaint_number,status,message,report_file,folder,workbook_row,backup_file
104-1552972,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-1552972/104-1552972 - DEO Report.odt,,39,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-1552972/104-1552972 - DEO Report.odt
104-1568413,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-1568413/104-1568413 - DEO Report.odt,,38,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-1568413/104-1568413 - DEO Report.odt
104-1578867,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-1578867/104-1578867 - DEO Report.odt,,37,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-1578867/104-1578867 - DEO Report.odt
104-1592848,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-1592848/104-1592848 - DEO Report.odt,,36,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-1592848/104-1592848 - DEO Report.odt
104-1593110,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-1593110/104-1593110 - DEO Report.odt,,35,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-1593110/104-1593110 - DEO Report.odt
104-4758591,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-4758591/104-4758591 - DEO Report.odt,,34,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-4758591/104-4758591 - DEO Report.odt
104-5262882,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-5262882/104-5262882 - DEO Report.odt,,33,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-5262882/104-5262882 - DEO Report.odt
104-5345008,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-5345008/104-5345008 - DEO Report.odt,,32,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-5345008/104-5345008 - DEO Report.odt
104-5483995,skipped_no_reply,Folder exists but workbook has no reply.,,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-5483995,,
104-5770514,skipped_no_reply,Folder exists but workbook has no reply.,,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-5770514,,
104-6031795,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6031795/104-6031795 - DEO Report.odt,,31,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6031795/104-6031795 - DEO Report.odt
104-6251810,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6251810/104-6251810 - DEO Report.odt,,30,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6251810/104-6251810 - DEO Report.odt
104-6252028,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6252028/104-6252028 - DEO Report.odt,,29,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6252028/104-6252028 - DEO Report.odt
104-6265145,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6265145/104-6265145 - DEO Report.odt,,28,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6265145/104-6265145 - DEO Report.odt
104-6273524,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6273524/104-6273524 - DEO Report.odt,,27,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6273524/104-6273524 - DEO Report.odt
104-6299108,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6299108/104-6299108 - DEO Report.odt,,26,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6299108/104-6299108 - DEO Report.odt
